"","category","manufacturer","caliber","action","type"
"1","Semi-automatic","223/5.56 NATO","Rifles",NA,NA
"2",NA,NA,NA,NA,NA
"3","Single Action","380 ACP","Handguns","Pistol","Sig Sauer"
"4","Over and Under","12 Gauge","Shotguns","Shotgun","Browning"
"5","Pump Action","243 Winchester","Rifles","Rifle","Remington"
"6","Lever Action","30-30 Winchester","Rifles","Rifle","Winchester"
"7","Lever Action","30-30 Winchester","Rifles","Rifle","Winchester"
"8",NA,"9mm Luger (9x19)","Handguns","Pistol",NA
"9","Semi-automatic","22 Long Rifle","Rifles",NA,"Ruger"
"10","Pump Action","12 Gauge","Shotguns","Shotgun","Savage Arms"
"11","Semi-automatic","22 Long Rifle","Rifles",NA,"Ruger"
"12","Single Action",NA,"Handguns","Revolver","Colt"
"13","Semi-automatic","223/5.56 NATO","Rifles","Rifle","Century International Arms"
"14","Single Action","25 ACP","Handguns","Pistol",NA
"15","Striker Fire","9mm Luger (9x19)","Handguns","Pistol","Walther"
"16","Semi-automatic","40 S&W","Rifles","Rifle","Kel-Tec"
"17",NA,NA,"Handguns",NA,"Century International Arms"
"18","Striker Fire","9mm Luger (9x19)","Handguns","Pistol","Glock"
"19","Single Action","45 ACP","Handguns","Pistol","Springfield"
"20","Striker Fire",NA,"Handguns","Pistol","Glock"
"21",NA,"9mm Luger (9x19)","Handguns","Pistol","Heckler & Koch"
"22","Double Action","22 Long Rifle","Handguns","Pistol","Taurus"
"23",NA,NA,NA,NA,NA
"24","Single Action","45 ACP","Handguns","Pistol","Smith & Wesson"
"25","Striker Fire","9mm Luger (9x19)","Handguns","Pistol","Ruger"
"26","Semi-automatic","223/5.56 NATO","Rifles","Rifle",NA
"27","Break Open","12 Gauge","Shotguns","Shotgun","Ithaca"
"28","Double / Single Action","9mm Luger (9x19)","Handguns","Pistol",NA
"29","Bolt Action","308/7.62 NATO","Rifles","Rifle","Winchester"
"30","Semi-automatic","223/5.56 NATO","Rifles","Rifle","Robinson Armament"
"31","Semi-automatic","308/7.62 NATO","Rifles","Rifle","DPMS"
"32","Pump Action","12 Gauge","Shotguns","Shotgun","Savage Arms"
"33","Lever Action","22 Long Rifle","Rifles","Rifle","Winchester"
"34",NA,NA,NA,NA,NA
"35",NA,"12 Gauge","Shotguns","Shotgun",NA
"36","Semi-automatic","12 Gauge","Shotguns","Shotgun","Franchi"
"37","Bolt Action","20 Gauge","Shotguns","Shotgun","Savage Arms"
"38","Semi-automatic","243 Winchester","Rifles",NA,"Remington"
"39",NA,"308/7.62 NATO","Rifles",NA,"Remington"
"40",NA,"30-06 Springfield","Rifles","Rifle","Savage Arms"
"41",NA,"223/5.56 NATO","Rifles",NA,NA
"42",NA,"7mm Remington Magnum","Rifles",NA,"Ruger"
"43",NA,"270 Winchester","Rifles",NA,"Ruger"
"44",NA,NA,NA,NA,NA
"45",NA,"30 Carbine","Rifles",NA,"Universal Firearms"
"46",NA,"30-40 Krag","Rifles",NA,NA
"47","Bolt Action","222 Remington","Rifles","Rifle","Remington"
"48","Semi-automatic","22 Long Rifle","Rifles","Rifle","Ruger"
"49",NA,NA,NA,NA,NA
"50","Double / Single Action","38 S&W Special","Handguns","Revolver","Colt"
"51",NA,"45 ACP","Rifles",NA,"Ed Brown"
"52","Semi-automatic","7.62x39","Rifles",NA,NA
"53","Double / Single Action","22 Long Rifle","Handguns","Pistol","Browning"
"54",NA,"9mm Luger (9x19)","Handguns","Pistol","Ruger"
"55",NA,NA,"Services",NA,NA
"56","Double / Single Action",NA,"Handguns","Pistol","Ruger"
"57","Striker Fire","9mm Luger (9x19)","Handguns","Pistol","Glock"
"58",NA,NA,NA,NA,NA
"59","Bolt Action","270 Winchester","Rifles","Rifle","Winchester"
"60",NA,NA,"Handguns",NA,NA
"61","Single Action","45 Long Colt","Handguns","Revolver","Uberti"
"62","Striker Fire","40 S&W","Handguns","Pistol","Glock"
